what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323139877488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323139882424
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323139883877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1323139883904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323139903614
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323139908889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323139914685
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323139915419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323139916387
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323139965161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323139967808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140018935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140023410
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1323140023434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140037791
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323140068208
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140070163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140084833
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140086371
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1323140086400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140606443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140649511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1323140649542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140677500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140679858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140709979
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323140729401
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323140729749
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323140729843
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1323140747481
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1323140748548
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1323140748641
opened,view,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms.views.LogCatView",1323140748777
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1323140748814
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1323140749729
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1323140751721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140759197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140764658
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1323140810945
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323140813396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140829559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140917002
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323140921039
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1323140928155
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140932093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140944016
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140946326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323140952055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141000322
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141157963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141170419
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141357172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141363921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1323141363950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141382483
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323141389111
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141397282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141418783
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323141459447
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1323141478982
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1323141483416
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323141483582
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323141499065
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1323141499261
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1323141505696
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323141505842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141513338
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141555578
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323141575214
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1323141575381
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1323141579108
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1323141582516
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323141589360
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323141617737
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1323141623956
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141628701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323141630549
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323141649464
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1323141649967
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1323141651059
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1323141652353
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1323141653015
